Distribution rate (per unit),Ex-dividend date,Record date,Payable date
0.11,2012-06-27,2012-06-29,2012-07-06
0.26,2012-09-26,2012-09-28,2012-10-05
0.24,2012-12-24,2012-12-28,2013-01-04
0.21,2013-03-20,2013-03-22,2013-04-02
0.49,2013-06-19,2013-06-21,2013-06-28
0.33,2013-09-25,2013-09-27,2013-10-04
0.22,2013-12-18,2013-12-20,2013-12-27
0.44,2014-03-19,2014-03-21,2014-03-28
0.55,2014-06-18,2014-06-20,2014-06-27
0.31,2014-09-17,2014-09-19,2014-09-26
0.27,2014-12-18,2014-12-19,2014-12-29
0.27,2015-03-19,2015-03-20,2015-03-27
0.51,2015-06-18,2015-06-19,2015-06-26
0.32,2015-09-17,2015-09-18,2015-09-25
0.27,2015-12-17,2015-12-18,2015-12-29
0.28,2016-03-17,2016-03-18,2016-04-01
0.51,2016-06-16,2016-06-17,2016-06-29
0.36,2016-09-22,2016-09-23,2016-10-05
0.28,2016-12-15,2016-12-16,2016-12-30
0.33,2017-03-23,2017-03-24,2017-04-05
0.56,2017-06-22,2017-06-23,2017-07-05
0.36,2017-09-21,2017-09-22,2017-10-04
0.31,2017-12-21,2017-12-22,2018-01-08
0.34,2018-03-22,2018-03-23,2018-04-04
0.61,2018-06-21,2018-06-22,2018-07-05
0.46,2018-09-27,2018-09-28,2018-10-10
0.33,2018-12-27,2018-12-28,2019-01-09
0.39,2019-03-28,2019-03-29,2019-04-10
0.65,2019-06-27,2019-06-28,2019-07-10
0.42,2019-09-26,2019-09-27,2019-10-09
0.30,2019-12-12,2019-12-13,2019-12-27
0.41,2020-03-26,2020-03-27,2020-04-08
